generated_at,player,team,goal_share,expected_matches,expected_goals
2026-06-11,Alireza Vahedi Nikbakht,Iran,8.958366176938289e-05,4.3988,0.000614404044834
2026-06-11,Talal El Karkouri,Morocco,7.502769710692043e-05,5.138400000000001,0.0006100259048873
2026-06-11,Daniel Pudil,Czech Republic,0.0001254384114434,3.7328,0.0006090654279948
2026-06-11,Laryea Kingston,Ghana,0.0001716952594982,3.346,0.0006084182226566
2026-06-11,Torsten Frings,Germany,5.309166517953057e-05,5.2276,0.0006064203592927
2026-06-11,Jairo Patiño,Colombia,5.890407840072248e-05,5.1298,0.0006062833088623
2026-06-11,Edinho,Portugal,4.957414622442753e-05,5.378,0.000602352026777
2026-06-11,Bilal Mohammed,Qatar,0.0001607522501714,3.4694,0.0006020364166064
2026-06-11,Gabriel Batistuta,Argentina,4.3315555596539066e-05,6.143000000000001,0.0006018788402406
2026-06-11,Phillip Cocu,Netherlands,5.677435799751478e-05,5.0316,0.0005976213786993
2026-06-11,Fatih Tekke,Turkey,9.314464290653775e-05,3.9902,0.0005958485898246
2026-06-11,Roberto Ayala,Argentina,4.283445600933472e-05,6.143000000000001,0.0005951938593463
2026-06-11,Víctor Aristizábal,Colombia,5.781982346372931e-05,5.1298,0.0005951233741227
2026-06-11,Alexsandro de Souza,Brazil,5.058502609037418e-05,5.6642,0.0005937260987456
2026-06-11,Mansour Boutabout,Algeria,9.63015734322081e-05,4.1028,0.0005931092608163
2026-06-11,Boško Balaban,Croatia,7.315814605811837e-05,4.709,0.0005927994890782
2026-06-11,John Terry,England,4.590452072013301e-05,5.834200000000001,0.0005834708957633
2026-06-11,Sibusiso Zuma,South Africa,0.0001407664407374,3.657,0.0005781560345929
2026-06-11,Roman Hubník,Czech Republic,0.000119059079199,3.7328,0.0005780906198874
2026-06-11,Karel Geraerts,Belgium,6.612954095266429e-05,4.8966,0.0005771219317092
2026-06-11,Gabriel Milito,Argentina,4.13390610031592e-05,6.143000000000001,0.0005744150282861
2026-06-11,Patrick Vieira,France,4.931099205047944e-05,5.4928,0.000573265837976
2026-06-11,Vratislav Lokvenc,Czech Republic,0.0001168285640603,3.7328,0.0005672603674794
2026-06-11,René Aufhauser,Austria,0.0001028967353249,3.9324,0.0005656236788716
2026-06-11,Mamadou Niang,Senegal,8.850206566763549e-05,4.324,0.0005639382220451
2026-06-11,Papa Bouba Diop,Senegal,8.830365410941056e-05,4.324,0.0005626739367368
2026-06-11,Jaouad Zairi,Morocco,6.891803129790824e-05,5.138400000000001,0.0005603501910187
2026-06-11,David Zdrilic,Australia,8.903049329948337e-05,4.2312,0.0005601272161697
2026-06-11,Takashi Fukunishi,Japan,5.981595262860839e-05,4.9164,0.0005591940801948
2026-06-11,Takayuki Suzuki,Japan,5.937705266440666e-05,4.9164,0.0005550909897817
2026-06-11,Andrew Hainault,Canada,8.292995844116864e-05,4.5058,0.0005503064412381
2026-06-11,Arlindo Gomes Semedo,Cape Verde,0.0001505133100593,3.392,0.0005488763622396
2026-06-11,Sergej Barbarez,Bosnia and Herzegovina,0.0001757951941549,3.381,0.0005459844988361
2026-06-11,Dayro Moreno,Colombia,5.300101758925384e-05,5.1298,0.0005455247444579
2026-06-11,Johan Vonlanthen,Switzerland,6.609557795390249e-05,4.6772,0.0005427149771665
2026-06-11,Amine Chermiti,Tunisia,0.0001277310553799,3.709,0.0005423488167253
2026-06-11,Merouane Zemmama,Morocco,6.637897907691777e-05,5.138400000000001,0.0005397059797689
2026-06-11,Zouheir Dhaouadi,Tunisia,0.0001267644690402,3.709,0.0005382446702744
2026-06-11,Elvir Bolić,Bosnia and Herzegovina,0.0001728804946869,3.381,0.0005369320287961
2026-06-11,Joris Mathijsen,Netherlands,5.065881810757156e-05,5.0316,0.0005332476453903
2026-06-11,Adrian Serioux,Canada,8.021923253814325e-05,4.5058,0.0005323186120759
2026-06-11,Juan Gutiérrez Moreno,Spain,3.2890163418140624e-05,6.1792,0.0005318053131426
2026-06-11,Ahn Jung-hwan,South Korea,8.610279711626627e-05,4.0818,0.0005286928407279
2026-06-11,Abdeslam Ouaddou,Morocco,6.48347770378176e-05,5.138400000000001,0.0005271505731317
2026-06-11,Josué Anunciado de Oliveira,Brazil,4.450820862562058e-05,5.6642,0.0005224013331975
2026-06-11,Diego Milito,Argentina,3.738086981588996e-05,6.143000000000001,0.0005194151214759
2026-06-11,André Ooijer,Netherlands,4.929293444131134e-05,5.0316,0.0005188700054035
2026-06-11,Jan Polák,Czech Republic,0.0001066544308795,3.7328,0.0005178599269847
2026-06-11,Siyabonga Nomvethe,South Africa,0.0001257910264644,3.657,0.000516649001474
2026-06-11,Marcos Senna,Spain,3.19361504645788e-05,6.1792,0.0005163797541065
2026-06-11,Ulises de la Cruz,Ecuador,8.042188102409317e-05,4.6722,0.0005161898882247
2026-06-11,Ole Gunnar Solskjær,Norway,7.288146823168516e-05,4.164,0.0005134739611472
2026-06-11,Mahmoud Shelbaieh,Jordan,0.000110705991017,3.5092,0.0005128105489527
2026-06-11,Mido,Egypt,0.0001054360546361,4.0554,0.0005122483653805
2026-06-11,Vaughan Coveny,New Zealand,0.0001657822764044,3.3254,0.0005103138983087
2026-06-11,Homos,Egypt,0.0001045934675965,4.0554,0.0005081547577884
2026-06-11,Patrick Kluivert,Netherlands,4.8198510300287054e-05,5.0316,0.0005073498176443
2026-06-11,David Mulligan,New Zealand,0.0001632650608116,3.3254,0.0005025653613126
2026-06-11,Anthony Annan,Ghana,0.0001417958041808,3.346,0.0005024667041594
2026-06-11,Radhi Jaïdi,Tunisia,0.0001181812019977,3.709,0.0005017999332427
2026-06-11,Ziad Jaziri,Tunisia,0.000117271955148,3.709,0.0004979392515031
2026-06-11,Néstor Ayala,Paraguay,0.0001082426233504,3.8496,0.0004941171194234
2026-06-11,Eljero Elia,Netherlands,4.691502030844588e-05,5.0316,0.0004938394744977
2026-06-11,Issey Nakajima-Farran,Canada,7.413986734115859e-05,4.5058,0.0004919771734761
2026-06-11,Scott Brown,Scotland,9.517409961452788e-05,3.8444,0.0004884191121077
2026-06-11,Talal Al-Meshal,Saudi Arabia,0.0001483958739199,3.5084,0.0004878221127577
2026-06-11,Elkin Soto,Colombia,4.7203787422546405e-05,5.1298,0.0004858554654685
2026-06-11,Nabil El Zhar,Morocco,5.968224409969044e-05,5.138400000000001,0.000485256996636
